userid,dev,log_time,log_date,seq_id,join_type,group_id,start_date,end_date,exp_userid,exp_dev,next_group
87409317,d_68228681832718,2015/5/5 16:10,2015/5/5,251.0,d,1803290000087,2015/5/5,2015/5/15,88902337,d_68228681832718,1803290000101
88249466,d_64219460653716,2015/5/5 21:07,2015/5/5,252.0,d,1803290000059,2015/5/5,2015/5/12,88682292,d_64753381607327,1803290000095
18464153,p_a27c599d7e72e7298931cc9c8ee48987,2013/9/4 20:44,2013/9/4,5.0,p,1803290000088,2015/5/6,2015/5/17,88670548,d_66142281383083,1803290000103
78672179,d_5906522770463,2014/11/8 12:16,2014/11/8,90.0,d,1803290000088,2015/5/6,2015/5/17,88670548,d_66142281383083,1803290000103
85996230,d_48385372850406,2015/3/30 22:10,2015/3/30,161.0,d,1803290000088,2015/5/6,2015/5/17,88670548,d_66142281383083,1803290000103
87198146,d_63671261202141,2015/4/1 8:52,2015/4/1,164.0,d,1803290000088,2015/5/6,2015/5/17,88670548,d_66142281383083,1803290000103
85562769,d_63671261202141,2015/4/1 8:54,2015/4/1,165.0,d,1803290000088,2015/5/6,2015/5/17,88670548,d_66142281383083,1803290000103
86121256,d_48385372850406,2015/4/2 11:34,2015/4/2,170.0,d,1803290000088,2015/5/6,2015/5/17,88670548,d_66142281383083,1803290000103
87039196,d_48385372850406,2015/4/17 9:47,2015/4/17,190.0,d,1803290000088,2015/5/6,2015/5/17,88670548,d_66142281383083,1803290000103
87430683,d_68254687282812,2015/4/23 8:15,2015/4/23,220.0,d,1803290000088,2015/5/6,2015/5/17,88670548,d_66142281383083,1803290000103
473407,d_48385372850406,2015/4/23 9:48,2015/4/23,221.0,d,1803290000088,2015/5/6,2015/5/17,88670548,d_66142281383083,1803290000103
87198500,d_63933369132485,2015/4/27 8:05,2015/4/27,236.0,d,1803290000088,2015/5/6,2015/5/17,88670548,d_66142281383083,1803290000103
88343924,d_68990310333998,2015/5/7 9:30,2015/5/7,255.0,d,1803290000089,2015/5/7,2015/6/6,88343924,d_62629530933009,1803290000119
87665503,d_64492558984962,2015/5/7 10:07,2015/5/7,256.0,d,1803290000090,2015/5/7,2099-12-31,,,
86880355,d_62104927638253,2015/4/14 11:20,2015/4/14,187.0,d,1803290000091,2015/5/9,2015/5/15,86880355,d_62767107482255,1803290000100
4654951,p_787b760d2311d5760dd3268622f5210a,2012/1/18 10:40,2012/1/18,2.0,p,1803290000091,2015/5/9,2015/5/15,86880355,d_62767107482255,1803290000100
26066102,p_a95a8486c1af7892202e07ae003438a9,2014/7/28 12:01,2014/7/28,50.0,p,1803290000091,2015/5/9,2015/5/15,86880355,d_62767107482255,1803290000100
87048616,d_3411114042864,2015/4/17 12:31,2015/4/17,191.0,d,1803290000091,2015/5/9,2015/5/15,86880355,d_62767107482255,1803290000100
87049189,d_3411114042864,2015/4/17 12:42,2015/4/17,193.0,d,1803290000091,2015/5/9,2015/5/15,86880355,d_62767107482255,1803290000100
87141694,d_61528155628740,2015/4/18 19:16,2015/4/18,201.0,d,1803290000091,2015/5/9,2015/5/15,86880355,d_62767107482255,1803290000100
87223479,d_3411114042864,2015/4/19 20:46,2015/4/19,207.0,d,1803290000091,2015/5/9,2015/5/15,86880355,d_62767107482255,1803290000100
87224755,d_3411114042864,2015/4/19 21:02,2015/4/19,209.0,d,1803290000091,2015/5/9,2015/5/15,86880355,d_62767107482255,1803290000100
87246402,d_3411114042864,2015/4/20 8:53,2015/4/20,214.0,d,1803290000091,2015/5/9,2015/5/15,86880355,d_62767107482255,1803290000100
87484497,d_61528155628740,2015/4/24 9:45,2015/4/24,225.0,d,1803290000091,2015/5/9,2015/5/15,86880355,d_62767107482255,1803290000100
87802736,d_3411114042864,2015/4/29 16:59,2015/4/29,240.0,d,1803290000091,2015/5/9,2015/5/15,86880355,d_62767107482255,1803290000100
87869561,d_3411114042864,2015/4/30 15:36,2015/4/30,243.0,d,1803290000091,2015/5/9,2015/5/15,86880355,d_62767107482255,1803290000100
88147630,d_3411114042864,2015/5/4 11:20,2015/5/4,249.0,d,1803290000091,2015/5/9,2015/5/15,86880355,d_62767107482255,1803290000100
88150764,d_3411114042864,2015/5/4 12:18,2015/5/4,250.0,d,1803290000091,2015/5/9,2015/5/15,86880355,d_62767107482255,1803290000100
88472050,d_69770056623405,2015/5/9 10:56,2015/5/9,262.0,d,1803290000092,2015/5/9,2015/6/3,90180644,d_69770056623405,1803290000117
88503016,d_3411114042864,2015/5/9 18:27,2015/5/9,263.0,d,1803290000091,2015/5/9,2015/5/15,86880355,d_62767107482255,1803290000100
88559807,d_69770056623405,2015/5/10 14:17,2015/5/10,264.0,d,1803290000092,2015/5/10,2015/6/3,90180644,d_69770056623405,1803290000117
88570387,d_46898093860662,2015/5/10 17:11,2015/5/10,265.0,d,1803290000093,2015/5/10,2015/6/10,90180644,d_61117228075812,1803290000124
88570487,d_46898093860662,2015/5/10 17:13,2015/5/10,266.0,d,1803290000093,2015/5/10,2015/6/10,90180644,d_61117228075812,1803290000124
88628013,d_62767107482255,2015/5/11 19:43,2015/5/11,268.0,d,1803290000094,2015/5/11,2015/5/15,86880355,d_62767107482255,1803290000100
88670548,d_48385372850406,2015/5/12 9:15,2015/5/12,269.0,d,1803290000088,2015/5/12,2015/5/17,88670548,d_66142281383083,1803290000103
